Review_title,Review
Just wow!,1. Material Quality - Not Bad...2. Sound Quality - Awesome...3. Bass - Decent Quality...4. Battery Backup - Very Good...5. Design & Bulid Quality - Very nice...6. Fitting - Oky Type...Overall very nice and Velue for money product...Really i love the product...🤩READ MORE
Terrific,Battery backup is best and full charge very quickly. Sound quality is best .I love it. You can buy it without any hesitation.READ MORE
Good quality product,"Delivered in 20 February.. today is 28 February and i didn't charge it till now still battery percentage is 70%.. i use it daily for online classes, 1 movie and 3 hours For music approx 9-10 hours daily so Battery is very Powerfull.it's housing is made by plastic and neck wire of somewhat soft silicone material cable is flat long and strong enough..Bass is above the best if you use right size of ear buds..even in 90% volume vocals are crystal clear treble is well balanced..Call quality is far...READ MORE"
Must buy!,"Writing this review after using more than 15 days. 255F pro+ has super sound quality. Bass is decent and fair enough. Most important highlight of this headset is battery life,it's amazing. Runtime depends on usage but definitely it will give you more than any other headset.Should go for it.READ MORE"
Great product,One of the best Bluetooth Boat. 1- Battery Backup Amazing 2- light wait 3-Awesome Sound quality4-Bass good5- Design normal but good not bestREAD MORE
Just wow!,Nice product and fast delivery .  I am happy nice job Flipkart thanksREAD MORE
Delightful,Awesome battery backup And Great Sound quality . Perfectly fits in the ear. What else you need. Thanks to bOAT & FLIPKART both for this Wonderful Product.READ MORE
Wonderful,This product is acctullly best. best coloty and design.But sound is little low not bed its a perfect but little low. bass is very powerful and clear. battery backup is very best in this price range. definately you purchase this product.READ MORE
Perfect product!,"Great product., battery backup up to 14 days use , sound quality is great , I am happy with the product 😊😊😊😊READ MORE"
Worth the money,"I got this product on 5th oct 2021 , today is 15th october 2021.Iam using this product now with out charging from delivery day...The batterry  backup is owsomSound quality amd bass are verry nice and morethan worth for your money...But build quality is not pretty good. But it is also value for money in this range...The magnetic lock is not perfect... Magnetic power is little lower.Some features are miss in this headphone ...like in oneplus headphones.. That is automatically off when we...READ MORE"
Perfect product!,"The product was too worthy for buying. Super quality. Delivery boy was on times, He also excellent calling experience. Best Bluetooth with top features in this price range .go 4 buy ,& it is best also 😍😍😍☺️☺️☺️☺️....................................READ MORE"
Good choice,"Just got my hands on this product. Let me be honest. Build quality pretty good. Everything fine no cracks or openings. Now the most important point - Bass. I have seen many people and many YouTubers telling that bass is bit much. For for me it is pretty well balanced and works out pretty well. I cannot tell much about battery backup. Let me use this for a couple of days. Then I will update my post. Sound quality also good and if you are used to listening to high volume of sound, you can easil...READ MORE"
Wonderful,Base is not good but volume is so loud 🙂Treble are good alsoBattery life is ultimate awesome 😍Overall Best neckbandREAD MORE
Nice,bass is good 4/5battery life is awesome 5/5built quality is ok ok 3.5/5dual connectivity working ok 3.5/5mic is also good 4/5its value for money yes butbut  there is a issue while playing vedio on youtube or vedioplayer if you fast forward voice get disrupted for few second and that's very annoyingthats why giving 3 /5READ MORE
Great product,"Rockerz 255pro+ is excellent and value for money product by Boat.Battery backup is also outstanding, build,sound quality and performance also mind blowing.I am really happy with this neckband also it is comfortable for ears.READ MORE"
Fabulous!,"Excellent product. ! Very good Sound/Bass quality, nd battery backup is amazing 🤗.. No other brands can challenge the Boat.  Earlier Sony was good, but ever since the boat came, it became everyone's best choice.READ MORE"
Wonderful,This neckband looks good for its price especially for the battery backup and fast charging. Sound is good but bass could have been more and better. Have to use and check more for better opinion. Call quality is good though... Cons are that it doesn't fit that well into the ears and right side feels little heavy cos of remote buttons on the right cable.READ MORE
Mind-blowing purchase,"The battery life is really amazing, on average use of 4-5 hrs per day it lasts upto 5-6 days on 50-60% volume. Also the fast charging really works, you will get 10hrs battery backup with 10 minutes of charge, whereas it takes 1.5 hrs for full charge which is good.The mic does have noise cancellation and quality of voice over mic is very good.The build quality is also nice, it feels durable and the fit is good and snuggly.My opinion:-  Its the best bluetooth collar band in this price segme...READ MORE"
Terrible product,"Its only 7 months I bought this product. It was convenient for me to use. Sound,Bass everything is good but. It said it has water & sweat resistance power. I never worked out wearing these not splashed any water but still one side stopped working in 1 second without any warning. I feel like I wasted my money in this. Wired earphones work longer than this.READ MORE"
Just wow!,"I am writing this review after using it for 4 months. Product material is very poor quality. 2 times broken without doing anything. Plastic quality is very very poor. If you are looking for Better product so please don't buy it. Sound Quality and battery life  is amazing but Product material is very wrost. I can say, This is a best Neckband I have ever seen. I got this product on 16 August evening & I used this Neckband till now continuously but it showing 20% battery. Actually I was confused...READ MORE"
Super!,Review after 7days used .....Sound Quality - 7/10Bass Quality - 5/10Battery quality 10/10*Build Quality - 6/10Design Quality - 6/10Comfort - 8/10Fittings - 8/10In honest review - Sound quality is loud(Not So Much) but bass quality is very low . If you switch from boat wired earphone (like boat 220) then you fill this low sound quality & bass quality. I think need to fix this bass quality ... make it more then high for batter sound experience. Battery quality is so so so good. Use 5day...READ MORE
Must buy!,As compared to any other company models and even boat  most famous model this is the best product. With a dedicated mic and enormous battery backup. I don't suppose any other blutooth headset can compete with this. I have tried and tested with my office calls and response was amazing. Due to to Covid situation Work from home this product is the best support. It connects with my Laptop and mobile at the same time. And I can easily switch between concalls and online calls work great throughout ...READ MORE
Wonderful,First of all thanks to Flipkart & Boat. Now discuss about this headphone :- 1. Sound Quality & Bass :- This is an unique sound quality. I use lots of headphone but this is an unique & sweet sound quality. Bass is enough for listening. Volume upto 25-30% is enough for listen. I give 5/5 star for sound & 5/5 star for bass..2. Quality :- Quality is not bad. 4.5/5 star for quality.3. Calling :- There are no issues for calling. Just awesome calling quality. 4. Battery :- It's have a great ...READ MORE
Worth the money,After using for more than 10 days I am writing this review...1. Sound is okay nothing great2. Noise cancellation is not good atall the other person can hear lots of disturbance in call 3. Battery is long lasting I used for total 12 days after one complete charge and I use it daily for atleast 5-6 hours for official calls. Secondly it takes less then an hour for 100% charge...4. Boat has to work more on sound quality on bluetooth devices as their wired headphones has par quality then this....READ MORE
Super!,Nice base and sound quality enjoyable ☺️ I prefer it's good battery back up is so nice 😉 nice product from boat and filpcart 💪👍READ MORE
Good choice,Every thing is just awesome but build quality  of boat products as usual sucks...If handled  carefully  can last about 1 yr or more but not then it can't survive  Only go for it if u r not a rough userBy seeing its quality  i can say its more durable than its 225 nd 255 pro version but not as durable as realme dizo neckands. So if a heavy user i suggest go for realme Or if u get this at below 1200(in sale/offer ) Then only go for itOther than that i am extremely happy with its mic and s...READ MORE
Terrific purchase,Good Product long lasting battery But when i compare it with my Infinity glide 120 the sound and bass are better there alas the its battery is only 6hrs so if you need good voice with better build quality with less battery go with glide 120 but if you.need A little less audio not much just a little and way long lasting battery go with this oneREAD MORE
Really Nice,"Reviewing after using for 1 month.Sound quality: Average sound quality. Bass boosted but sound quality degrades in lower frequencies.Loudness: Pretty loud. 25% volume is loud enough for indoors listening. Hardly used over 50% volume.Noise isolation: Decent.Fit: Excellent.Battery: Hats off. Charge it, forget it.Connectivity: Excellent. Signal drops rarely even after 2 walls.Mic: No complaints.Built quality: Below average. Pretty sure the charging port is going to break first. C...READ MORE"
Simply awesome,Nycc product reasonable rate All are well and goodBattery backup is also good Nice in colour All is well about thisREAD MORE
Awesome,I bought in big billion days I was confused it and 235v2 then bought this totally super product battery packup is awesome bass is very nice really good just go for it...READ MORE
Good choice,For battery I could give 10 star if possible......pvc plastic is just okay. But voice on calling is crystal clear because of cvc technology. Earlier my wife always complain about my voice when I was using other Bluetooth earphone while calling but now she is happy and me too........ Don't take it otherwise I work out of station ....lolREAD MORE
Brilliant,Battery backup is awesomeSound & Bass are very goodNoise cancellation is working fine & you find it clearly while travellingIf you are games lover don't go for itREAD MORE
Delightful,14/2/2021 I ordered it it arrived after 2 day's it was my first bluetooth neckband   it's bass and battery lifle is awesome  over all sound 3.5-4 /5   but now after around 3 months it's one side (left ear) is  not working properly  for the last few days .  It's in warenty so  I will update this review after I get touch with  boat's customer service .READ MORE
Classy product,"Far better than Earbuds of so called high brands.... It's just W......O.......W 🎧🎵 what a bear 💓💓 I am a Bass lover, but in this bass & treble crystal clear, no distortion... Also in voice call no prb happen, other person can hears clearly. Great 10 meter bluetooth range 👍👍 I am hearing with 40% sound. Just set your Equaliser & have fun with a Hollywood movie.... You feel ur in Cinema 😎😎READ MORE"
Best in the market!,Best in class If you want a great Bluetooth earphones then do not think buy this ... Battery backup is just awesome I am using it since 5 days and battery is still 40% no charge since deliver.. bass is good build quality also very good overall good product worth for every penny.. I got it in republic sale At Just 849 RsI hope it's helps.!!READ MORE
Terrific purchase,"Just got the package ☺️ And Unboxed it and just Sayed wow the packaging style of boat is superb and the sound is also very good , Bass is also very Good and design is also killing 🔥 But the main problem is in fittings but it doesn't matter I just want a monster battery life I got my package on 11 Oct. And Today is 15 Oct. And it's working wonderfully  without any single charge I used to listen songs daily for 7-8 hours and its have been 5 days and there is still 20% battery remains in it als...READ MORE"
Just okay,"I'm writing this after 2 months if usage.Sound quality is too good. But it's not suitable for bike riders as it flying away from neck. Also mic is not very near to right side, if you're using helmet then you must keep mic inside your helmet.Other than above issue its a nice product.READ MORE"
Fair,It's not such a good product not giving any good quality it's one side is always getting broken even if it's getting a little stratched it's not really value for money and the worst part is it's call quality every single background noise is reached to person you are talking to so i don't think you should buy it even music quality is okay and battery is good except that i would never recommend you but some buds in offer you will get good buds in 1200-1500 in place of this that will look cool a...READ MORE
Worth every penny,Best product below 2k. Sound quality is amazing. Its like a home theatre inside my ears. Battery is excellent. No issue with the buttons. Range is also good. But the ear buds are not comfortable becoz my earholes are too small even the small bud is not working for me. Other than that its a good one. I will update after 1 month.READ MORE
Brilliant,"Tip- At first I thought the sound and bass is less, and many here said the same, but the product came with 60 % volume adjusted so when I increased and adjusted  the volume with my phone volume it sounds the best, the battery is beast, I received it two weeks ago and my battery is still at 60 % I haven't charged it yet, as it comes with 100% charge Battery - 10 on 10Sound - Crystal clear 10 on 10 (boat sound quality) Bass - 9/10 ( I don't want headache from bass so it's perfect for me, it...READ MORE"
Brilliant,"Very Good product high bass, battery backup is super i recommend everyone buy this product than other bluetooth. I love this productREAD MORE"
Perfect product!,"Today I got this product flipkart delivered this product 1 day before, Thanks Flipkart, & This is Excellent Product , Best Bass sound, Call Quality is awesome, Packaging was also too good, & It is so comfortable & light weight, Really appreciated.READ MORE"
Perfect product!,"I am writing this review after using 5 months...🔋Specially It's battery life is amazing 🤩  I am using it for whole week in a single charge (normal usage)  For Wild / heavy usage, it gives battery backup of around 4-5 days🔊 Sound performance is Decent enough in this price range But...not better than ""Boat rockerz 235 V2""🧰 Build quality is good enough🎮Not suggested for gamer bcz of latency But Overall this earphone is BestFor Battery with Sound qualityGood combination ofSou...READ MORE"
Best in the market!,Thank you flipkart for best deal I got this for 1299 and earphone is amazing .. sound quality is great and charging is also great.. if anyone is searching earphone for wireless earphone with budget 1500 you can go for this .. trust me it's a best deal .READ MORE
Wonderful,I've purchased it on OCT 2021 now SEP2022 almost near to a year. This Product is just awesome.Pros:       Very Good Battery Backup of Maximum One Week of Heavy Usage.       Noise cancellation work also good.        This product is good for money.Cons:         When we hear overtime the grip buds on the earpiece creates pain on ears!.         While travelling on bike the weight of buttons control bar is high on air and cannot able to wear it properly while riding.READ MORE
Worth every penny,"Its a best option for 1500 budget value people, its best headphones ever i purchase, it's bass is like ""ooo maa gu turu lob"".such a amazing headphonesREAD MORE"
Brilliant,"IncredibleI've been using TWS earphones but now I have upgrades to this is worth itPros: super comfy, one can easily spend hours using thisDue to the ear wing the buds become more fit and secureTrebbles are awesome, highs n lows are very well Balanced.*and the bass is fabulous* also no distortion And sound is clear till 100% vol. It also has dual pairing mode The biggest pro is that it has 40 hour of video playback and IPX7 water n sweat resistance when I compared it with boat...READ MORE"
Super!,"It's awesome product, i received original boat earphone in good condition and good quality..Nice sound qualityNice bass quality And awesome battery backup.. Its value for moneyREAD MORE"
Great product,"Awesome bassCrystal clear soundGreat battery backupFits perfectly to the earsComfortableSmooth callingNoice cancellation works gdBass, sound , high and low pitch, vocals  --everything balancedListen at 70% volume for best experienceREAD MORE"
Mind-blowing purchase,Nice product value for money sound quality is wow and use this bluetooth headphone is very easy . I am fully satisfied with this product.  thanks flipkart for first delivery ❤❤❤❤READ MORE
Wonderful,"Awesome battery backup, sound quality is average.I prefer it as a good bluetooth headset and excellent battery backup at this price rangeREAD MORE"
Just wow!,This is the best Bluetooth earphone for all Battery backup excellent and support fast charging Sound and bass is superbREAD MORE
Fabulous!,"Totally agree with this productIt's very  good product others productBass and sound quality is very good, battery backup is so good , build quality is good but not very goodOtherwise in this product totally fantasticI am still happy with this neckband.Thank you Boatahed.😊😊READ MORE"
Value-for-money,"It is really good quality Neckband...1. Sound Quality.             >Very Good2. MIC, Calling Quality.   >Good3. Battery Backup.           >Very Good (Superb) 4. Build and Design.        >Good5. Dual Pairing                  >Very Good6. Bass                               >Very Good7. Fast Charging              >Good8. Type C charger Cable >Very Good9. Operating Easy            >Good10. Charging Time          >Good11. Value of Money        >GoodBut Mobile Number not Announcing of ...READ MORE"
Brilliant,Honest review after a week of use...Cons...1) punchy bass and a very good sound qualityJusy loved it. If you are a bass lover you will love it.2) The battery backup is just like a legend. Using it since a weekDaily full day 8 to 9 hrs on receiving calls and all.Listens music to 3 - 4 hours in a day The battery still lasted 12 days and i had not charged it once in the last 12 days. I'm amazed. Battery backup is marvellous3) calling is great in it. Mic and call quality is great4) design...READ MORE
Highly recommended,It's amazing bluetooth..I have use five days..5th day I will started use 100% battery then  five days after checking now 80% balance.. battery backup.. value of money 100%...  sound is soooooo coool n clear..base sound.. thank you flipcort love youREAD MORE
Terrific purchase,"It's a stunning and tremendous Bluetooth headset in this price range. The bass is outstanding and battery backup is more than enough to me . Overall it's fabulous, moreover, it too suits for those who work out. However, a tiny problem that has been found out by me that it exists a small noise for some seconds even we finished listening to the music. But after some seconds the noise disappeares. But highly recommendedREAD MORE"
Perfect product!,Awesome sound qualityBASS IS VERY GOODBATTERY BACKUP IS VERY GOOD SINGLE CHARGE 10 DAYS USING OVERALL 4.5 RATING I WILL GIVE IAM HAPPY WITH THIS PRODUCT THANK U FLIPKART...READ MORE
Great product,"sound quality okbattery back up heavy (using for 15 days without charging, not used continuously but still battery power is 70percent, awesome stand by time)bluetooth connectivity very fast and it has beast mode toobut colour is lighter than the shown imageREAD MORE"
Classy product,This product is really amazing its sound quality is very good compared to others and most important battry backup is really satisfiedREAD MORE
Wonderful,Awesome product writing after 10 days usage.. battery is like even after extensive usage for 11 days its still 60 percent. Must buy.. sound quality and bass is superb. Even calling is superb the mic quality is amazing.I got it for 1499.. i have jbl ones that has a slight better sound than this but battery drains in two days or one and half days.READ MORE
Highly recommended,"Sound quality : AwesomeBass : Good (need to improve) Look : Ok okAmount wise : I have purchased it for 1299 rupees. So yes, the amount is reasonable. Overall the product is good,  worth itREAD MORE"
Value-for-money,Wonderful item in affordable rate and it's battery backup is also very good everyday I charged it only 20 mints and it will remain charge till next morning....I mean to say there is 50 percent baatery still left in itREAD MORE
Pretty good,It’s amazing product and worth for money. It’s sound quality is good and comfort in use. I would prefer to buy this product.READ MORE
Fabulous!,"The best so far. Battery beast and bass will be better than many similar products ( use suitable bud)Friends and relatives who tried once got addicted instantly and asked me to order. Out of stock everywhere.Once it comes to stock, just but without any hesitations. Useful for workouts too.Design and style are awesome. Build quality is lesser when compared to other boat modelsREAD MORE"
Good choice,"I have oneplus base edition too and that's darn better than it in sound clarity and design, it's design is not for those who wear it while sleeping and also not comfortable to wear for a long but oneplus one is really a better option than this because of its body softness and in ear experience,yeah sound quality too.READ MORE"
Terrific,Superb blutooth. Best part is their sound quality. And it has huge battery backup which makes it more worth it.READ MORE
Fabulous!,Such a nice product please buy it . This sound is awesome.this model also very nice and this battery backup 40 hours very nice product . Thank you FlipkartREAD MORE
Just wow!,Excellent product earlier i was too confuse should i buy or not but finally I had made a decision to buy because currently I'm using boat 402 which is excellent in term of everything but mine friend like neck band that's why i had order this one for him. friend if you like neck bands then go for this or if you like wireless then you should prefer boat 402 hope this will help you to choose correct productsREAD MORE
Did not meet expectations,"Sound quality- 1.5/10 painful sharp sound Bass - 3.5 /10 can damage ur ears ( ie create headache) Built - better material Design  - moderateConclusion- all money is going for builting the structure and batteryNot for speakers sound  improvementbest for battery life  , and quick chargingI specially request to boat  that , please work on speakers, try to make it more softer  and thumpy, rather than making it rough noisy and louder,    ie - for soft and clear sound  Frequency and ...READ MORE"
Worth every penny,"Lot of confusions before buying, whether to buy neckband or airdopes. At last i settled with Boat neckband. Already using Boat headphones & speakers so i believed in sound quality & clarity. Really best neckband at this price point. Sound is soo clear, enjoying music with clear & quality bass.Battery backup is soo good, came 100% charged and still 97%Overall its a good quality product. Go for it guys.READ MORE"
Good choice,"Till now I am very much satisfied with the product , battery is too good and sound is also good and clear and best part dual connect at a time.READ MORE"
Wonderful,A very good product in budget segment. Battery back-up is good. Easily last for 5-6days on a single charge. Well it depends how does a person use. Overall is very good product from boat. Loved it.READ MORE
Simply awesome,This product is just awesome. Lot of battery backup. Sounds good and seems also. Easy to carry and reliable to use. Such a great product. But the sound decrease a little bit after used it 3 to 4 months. But overall it's just awesome👍READ MORE
Really Nice,Good product budget friendly I have use last 2 month I can charge 5r6 time only Bluetooth can connected with 24x7 last 2 month bettry is very good if u continue use it can 4to 5 days bettry life I charge weekly once onlyREAD MORE
Awesome,"• For about 7, 8 days i used it with the first day charging only Battery backup is fabulous it's better than any boAt headset in the case of battery backup (5/5)• Sound quality is awesome 👌(5/5)• bass is not that perfect for bass fans but fantastic as usual (4/5)• Built quality also good but some times i have a little uncomfortable for that mic and control system in right ear side (4/5)•Value for money off course worth 👌 (5/5)READ MORE"
Fabulous!,"Well, it's been two weeks since I bought and I have charged it only once yet. It offers tremendous battery backup no doubt in that. Full charge will run almost a week. Speaking about sound quality it's decent and good enough for music and phone calls. Mic quality could have been improved, during calls sometimes the other side parties cannot hear our voice clearly until spoken from the mic close enough to the mouth. AFAIK this is my 4th boat earphones, the mic has been a general problem in boa...READ MORE"
Terrific,I have never seen like this product till now Battery 10/10Sound quality 10/10Build & design 9/10I loved it very much thank you Boat & Flipkart for this amazing productREAD MORE
Does the job,"Not recommended because of desine failure. Build quality is very poor. Not comfortable to wear for long. Can't use inside helmet otherwise it will pain like hell. Good battery life is the only merit. Not fot inside ears even with the smallest pad option, ocationally poping out of ear and wearing long time it will make the ears swell from inside. So I won't recommend to anyone. Earpod design is the best for ear comfort. If you get any other head band with apple earbuds design go for it.READ MORE"
Simply awesome,"This one has been value for money. Was skeptical to buy or with no reviews, but worth it.PROs1. The bass and effects are too good. Typical boAt. 2. The battery backup too sustains for 8+ hours continuous usage. 3. Microphone pickup is very good. Noise cancellation does not work that well. But very good for calls and meetings.4. Length of cable to ear is long enough to keep microphone and controls easily accessible.5. Very Light Weight. CONs1. The build quality is something that I di...READ MORE"
Delightful,Good product. Battery capacity to good sound quality ie good Look is. Awesome 👍👍READ MORE
Nice product,"Fabulous Job by Boat , Just a bit quality control issue- Loudness is pretty good at 60% volume- Bass is fantastic- My neckband has one wire side bit loose at particular level it is apparent when it is not plugged into ears so not much of concern but i have option for replace via service center for that as well.- Battery is humongous, trust me , I haven't charged this since i recieved and i used it roughly around 2-3 hrs daily on average and it still stands so strong. - The controller ...READ MORE"
Good quality product,"Good product, excellent battery backup..I used it for 3 days nearly 5 hrs per day but it's showing 80% . design quality is not that much good.sound and bass are good.value for money,this is the best at this price rangeREAD MORE"
Awesome,"Very Nice Product in this range. Battery backup is superb. Design is average, just ok. bass and sound quality is nice in this range. Overall a best neckband. If you want a good neckband in less budget then buy it.READ MORE"
Must buy!,"For battery backup it need to be given 10/10.never expected such a massive battery backup.Despite of attending meetings ,songs on this for a week still battery is 50%.sound quality and range of Bluetooth is another plus for this.even you go 15 feet or beyond it gives crystal clear sound.Noise cancellation is top notch.For occasional music lovers who love high bass and balanced sound this is must have.I rarely write review but this product performance forced to write a review.READ MORE"
Terrific,Very nice earphone. Most positive thing about this headphone is its battery backup. Sound quality is also very good. Worth of money.. Nice product.READ MORE
Classy product,"If we don't use it as always online and keeping it just standby whenever not needing it would give you plenty of backup like almost 5days. And the sound quality is quite good enough to enjoy in music & movie both also the newly introduced ""beast mode"" is awesome for gaming as well. :)READ MORE"
Classy product,Best product under this price range. Sound quality very clear. Bass good but not best. Best is quality of battery.READ MORE
Just wow!,OoOwsem God product Tq boat 🥰READ MORE
Good quality product,"Looks good... USB Type-C, fast charging, excellent battery life ☺️READ MORE"
